Monster		Members	Combat level	Hitpoints	Attack level	Defence level	Magic level	Ranged level	Stab defence	Slash defence	Crush defence	Magic defence	Light Ranged defence	Standard Ranged defence	Heavy Ranged defence
Arzinian Avatar of Magic - Level 75	Arzinian Avatar of Magic Level 75	Members	75	70	10	75	75	0	40	40	40	15	10	10	10
Tough Guy	Tough Guy	Members	75	75	85	50	80	0	9	8	10	0	0	0	0
Lizardman brute - Battlefront	Lizardman brute Battlefront	Members	75	60	65	65	1	1	-20	30	10	0	-10	0	0
Lizardman brute - Standard	Lizardman brute Standard	Members	75	60	65	65	1	1	-20	30	10	0	-10	0	0
Arzinian Avatar of Strength - Level 75	Arzinian Avatar of Strength Level 75	Members	75	70	70	50	0	0	15	15	15	10	40	40	40
Black golem	Black golem	Members	75	80	80	80	1	1	300	300	1	300	300	300	300
Baby Roc	Baby Roc	Members	75	50	70	70	1	1	0	0	0	150	0	0	0
White golem	White golem	Members	75	80	80	80	1	1	1	300	300	300	300	300	300
Apparition - Scabaras	Apparition Scabaras	Members	75	50	70	40	1	1	30	30	30	0	70	70	70
Vampyre Juvinate - Level 75	Vampyre Juvinate Level 75	Members	75	110	70	35	1	1	0	0	0	0	0	0	0
Dark energy core	Dark energy core	Members	75	25	1	20	1	1	10	10	10	-5	10	10	10
Apparition - Apmeken	Apparition Apmeken	Members	75	70	30	40	85	1	65	65	65	50	0	0	0
Grey golem	Grey golem	Members	75	80	80	80	1	1	300	1	300	300	300	300	300
Ankou - Level 75	Ankou Level 75	Free-to-play	75	60	70	60	1	1	0	0	0	0	0	0	0
Culinaromancer - Normal	Culinaromancer Normal	Members	75	150	10	10	1	1	-10	-10	-10	-10	-10	-10	-10
Emissary Chosen - 4	Emissary Chosen 4	Members	76	50	80	60	20	1	25	25	40	15	25	25	25
Giant crypt rat	Giant crypt rat	Members	76	70	80	65	1	1	0	0	0	0	0	0	0
Emissary Chosen - 5	Emissary Chosen 5	Members	76	50	80	60	20	1	25	25	40	15	25	25	25
Emissary Chosen - 6	Emissary Chosen 6	Members	76	50	80	60	20	1	25	25	40	15	25	25	25
Shifter - Level 76	Shifter Level 76	Members	76	53	87	53	47	0	0	0	0	0	0	0	0
Emissary Chosen - 3	Emissary Chosen 3	Members	76	50	80	60	20	1	25	25	40	15	25	25	25
Emissary Chosen - 1	Emissary Chosen 1	Members	76	50	80	60	20	1	25	25	40	15	25	25	25
Emissary Chosen - 2	Emissary Chosen 2	Members	76	50	80	60	20	1	25	25	40	15	25	25	25
Cyclops - Level 76	Cyclops Level 76	Members	76	100	65	35	1	1	0	0	0	0	0	0	0
Cyclops (Catacombs of Kourend) - Level 76	Cyclops (Catacombs of Kourend) Level 76	Members	76	100	65	35	1	1	0	0	0	0	0	0	0
Forgotten Soul (Soul Wars) - Level 76	Forgotten Soul (Soul Wars) Level 76	Members	76	77	80	30	30	1	10	10	10	10	10	10	10
Third Age Ranger	Third Age Ranger	Members	76	40	1	80	1	95	55	47	60	60	55	55	55
Bloodveld - Standard	Bloodveld Standard	Members	76	120	75	30	1	1	0	0	0	0	0	0	0
Spinolyp - Spinolyp (1)	Spinolyp Spinolyp (1)	Members	76	100	10	10	1	100	100	100	100	50	50	50	50
Gang boss - Male	Gang boss Male	Members	76	80	1	70	1	80	0	0	10	0	0	0	0
Zombie (Tarn's Lair) - Level 76	Zombie (Tarn's Lair) Level 76	Members	76	71	69	62	1	1	20	20	0	0	10	10	10
Spinolyp - Spinolyp (2)	Spinolyp Spinolyp (2)	Members	76	100	10	10	1	100	100	100	100	50	50	50	50
Brawler - Level 76	Brawler Level 76	Members	76	83	37	67	0	0	0	0	0	0	0	0	0
Ghost - Level 76	Ghost Level 76	Free-to-play	76	75	63	68	1	1	45	45	5	-5	45	45	45
Zombie (Kourend) - Level 76	Zombie (Kourend) Level 76	Members	76	71	69	62	1	1	20	20	0	0	10	10	10
Penance Fighter - Wave 9	Penance Fighter Wave 9	Members	77	56	71	66	1	1	0	0	0	0	0	0	0
Witch's experiment - Spider (hard)	Witch's experiment Spider (hard)	Members	77	93	84	29	1	1	0	0	0	0	0	0	0
Skeleton (Barrows) - Unarmed	Skeleton (Barrows) Unarmed	Members	77	51	72	72	1	1	5	5	-5	0	5	5	5
Cursed Baboon	Cursed Baboon	Members	77	10	60	20	60	60	900	900	900	-60	-50	-50	-50
Ghost - Level 77	Ghost Level 77	Free-to-play	77	80	63	68	1	1	55	55	5	55	55	55	55
Baboon	Baboon	Members	77	35	0	50	50	80	10	50	50	50	50	50	50
Skeleton (Barrows) - Unarmed round shield	Skeleton (Barrows) Unarmed round shield	Members	77	51	72	72	1	1	5	5	-5	0	5	5	5
Skeleton (Barrows) - Armed round shield	Skeleton (Barrows) Armed round shield	Members	77	51	72	72	1	1	5	5	-5	0	5	5	5
Feral Vampyre - Level 77	Feral Vampyre Level 77	Members	77	60	65	81	1	1	0	0	0	0	0	0	0
Skeleton (Tarn's Lair) - Level 77	Skeleton (Tarn's Lair) Level 77	Members	77	80	72	60	1	1	50	40	0	0	40	40	40
Skeleton (Barrows) - Square shield	Skeleton (Barrows) Square shield	Members	77	51	72	72	1	1	5	5	-5	0	5	5	5
Jelly - Olive	Jelly Olive	Members	78	75	45	120	45	1	0	0	0	0	0	0	0
A Doubt	A Doubt	Members	78	59	72	85	1	1	0	0	0	0	0	0	0
Jelly - Green	Jelly Green	Members	78	75	45	120	45	1	0	0	0	0	0	0	0
Jelly - Grey (w)	Jelly Grey (w)	Members	78	75	45	120	45	1	0	0	0	0	0	0	0
Jelly - Dark (w)	Jelly Dark (w)	Members	78	75	45	120	45	1	0	0	0	0	0	0	0
Jelly - Dark	Jelly Dark	Members	78	75	45	120	45	1	0	0	0	0	0	0	0
Jelly - Olive (w)	Jelly Olive (w)	Members	78	75	45	120	45	1	0	0	0	0	0	0	0
Jelly - Grey	Jelly Grey	Members	78	75	45	120	45	1	0	0	0	0	0	0	0
Jelly - Regular (w)	Jelly Regular (w)	Members	78	75	45	120	45	1	0	0	0	0	0	0	0
Jelly - Tan (w)	Jelly Tan (w)	Members	78	75	45	120	45	1	0	0	0	0	0	0	0
Jelly - Regular	Jelly Regular	Members	78	75	45	120	45	1	0	0	0	0	0	0	0
Jelly - Tan	Jelly Tan	Members	78	75	45	120	45	1	0	0	0	0	0	0	0
Torcher - Level 79	Torcher Level 79	Members	79	57	0	73	97	0	0	0	0	0	0	0	0
Wolf (Soul Wars)	Wolf (Soul Wars)	Members	79	80	85	30	30	1	10	10	10	10	10	10	10
Tortoise - No riders	Tortoise No riders	Members	79	100	15	80	1	1	0	0	0	0	0	0	0
Viyeldi	Viyeldi	Members	79	80	62	70	0	0	0	0	0	0	0	0	0
Tree spirit - Level 79	Tree spirit Level 79	Members	79	85	65	65	1	1	0	0	0	0	0	0	0
Aviansie - Level 79 (1)	Aviansie Level 79 (1)	Members	79	83	1	70	1	85	0	0	0	0	-20	0	0
Me - Male	Me Male	Members	79	45	75	74	1	1	0	0	0	0	0	0	0
Aviansie - Level 79 (2)	Aviansie Level 79 (2)	Members	79	77	1	55	1	96	0	0	0	0	-20	0	0
Green dragon - Level 79	Green dragon Level 79	Members	79	75	68	68	68	1	10	40	40	30	50	50	15
Me - NMZ	Me NMZ	Members	79	45	75	74	1	1	0	0	0	0	0	0	0
Me - Female	Me Female	Members	79	45	75	74	1	1	0	0	0	0	0	0	0
Giant crypt spider	Giant crypt spider	Members	79	80	65	65	1	1	20	20	10	17	20	20	20
River troll - Level 79	River troll Level 79	Members	79	85	65	65	1	1	0	0	0	0	0	0	0
Sea troll - Level 79	Sea troll Level 79	Members	79	100	60	60	1	1	0	0	0	0	0	0	0
Rock Golem (monster) - Level 79	Rock Golem (monster) Level 79	Members	79	85	65	65	1	70	0	0	0	0	0	0	0
Ghast - Level 79	Ghast Level 79	Members	79	115	80	60	30	30	0	0	0	0	0	0	0
Cave horror	Cave horror	Members	80	55	80	62	80	1	0	0	0	0	0	0	0
Giant skeleton (Shadow Dungeon) - 2	Giant skeleton (Shadow Dungeon) 2	Members	80	70	70	70	1	1	0	0	0	0	0	0	0
Giant skeleton (Shadow Dungeon) - 1	Giant skeleton (Shadow Dungeon) 1	Members	80	70	70	70	1	1	0	0	0	0	0	0	0
Giant snail - Level 80	Giant snail Level 80	Members	80	125	30	60	30	70	0	0	0	0	0	0	0
Mammoth - Normal	Mammoth Normal	Members	80	130	55	50	1	1	0	0	0	0	0	0	0
Swamp snake - Level 80	Swamp snake Level 80	Members	80	120	50	70	30	30	0	0	0	0	0	0	0
Riyl shadow (Temple Trekking)	Riyl shadow (Temple Trekking)	Members	80	76	87	60	50	50	0	0	0	0	0	0	0
Zombie (Tarn's Lair) - Level 80	Zombie (Tarn's Lair) Level 80	Members	80	73	72	62	1	1	20	20	0	0	10	10	10
Riyl Shade - Shadow	Riyl Shade Shadow	Members	80	76	88	60	0	0	0	0	0	0	0	0	0
Riyl Shade - Shade	Riyl Shade Shade	Members	80	76	88	60	0	0	0	0	0	0	0	0	0
Defiler - Level 80	Defiler Level 80	Members	80	78	0	53	0	98	0	0	0	0	0	0	0
Abyssal walker	Abyssal walker	Members	81	95	5	95	1	1	75	75	10	75	75	75	75
Cyclops (God Wars Dungeon) - Grey	Cyclops (God Wars Dungeon) Grey	Members	81	110	60	48	1	1	0	0	0	0	0	0	0
Cyclops (God Wars Dungeon) - Teal	Cyclops (God Wars Dungeon) Teal	Members	81	110	60	48	1	1	0	0	0	0	0	0	0
Skeleton (Tarn's Lair) - Level 81	Skeleton (Tarn's Lair) Level 81	Members	81	71	72	80	1	1	50	40	0	0	40	40	40
Huge spider	Huge spider	Members	81	90	59	69	1	1	0	0	0	0	0	0	0
Zamorak ranger - Level 81	Zamorak ranger Level 81	Members	81	50	75	80	1	80	0	0	0	0	0	0	0
Bloodveld - God Wars	Bloodveld God Wars	Members	81	134	80	30	1	1	0	0	0	0	0	0	0
Ogre chieftain	Ogre chieftain	Members	81	60	75	75	1	1	10	21	16	0	0	0	0
Knight of Varlamore (Twilight's Promise)	Knight of Varlamore (Twilight's Promise)	Members	81	100	70	40	20	1	28	26	10	5	20	20	20
Zombie (Tarn's Lair) - Level 81	Zombie (Tarn's Lair) Level 81	Members	81	76	69	71	1	1	20	20	0	0	10	10	10
Apparition - Het	Apparition Het	Members	81	75	80	40	1	1	0	0	0	0	0	0	0
Nylocas Ischyros - Big (Entry mode)	Nylocas Ischyros Big (Entry mode)	Members	82	3	100	6	6	100	0	0	0	0	0	0	0
Nylocas Hagios - Big (Entry mode)	Nylocas Hagios Big (Entry mode)	Members	82	3	100	6	6	100	0	0	0	0	0	0	0
Lesser demon - Level 82	Lesser demon Level 82	Free-to-play	82	79	68	71	1	1	0	0	0	-10	0	0	0
Nylocas Toxobolos - Big (Entry mode)	Nylocas Toxobolos Big (Entry mode)	Members	82	3	100	6	6	100	0	0	0	0	0	0	0
Headless Beast - Normal	Headless Beast Normal	Members	82	100	60	42	42	1	18	18	18	6	52	52	52
Frenzied ice troll male	Frenzied ice troll male	Members	82	80	80	40	1	1	30	60	30	0	0	0	0
Ice troll male - Variant 2	Ice troll male Variant 2	Members	82	80	80	40	1	1	30	60	30	0	0	0	0
Lesser demon (Melzar's Maze)	Lesser demon (Melzar's Maze)	Free-to-play	82	79	68	71	1	1	0	0	0	-10	0	0	0
Lesser demon (The Scar) - Level 82	Lesser demon (The Scar) Level 82	Members	82	79	68	71	1	1	0	0	0	-10	0	0	0
Frenzied ice troll female	Frenzied ice troll female	Members	82	80	80	40	1	1	30	60	30	0	0	0	0
Ice troll male - Variant 1	Ice troll male Variant 1	Members	82	80	80	40	1	1	30	60	30	0	0	0	0
Ice troll female - Variant 1	Ice troll female Variant 1	Members	82	80	80	40	1	1	30	60	30	0	0	0	0
Ice troll female - Variant 2	Ice troll female Variant 2	Members	82	80	80	40	1	1	30	60	30	0	0	0	0
Ogress Shaman	Ogress Shaman	Free-to-play	82	82	68	82	68	1	12	14	14	16	8	8	8
Ogress Warrior - 1	Ogress Warrior 1	Free-to-play	82	82	68	82	60	1	10	12	12	14	16	16	16
Monkey Zombie - Level 82	Monkey Zombie Level 82	Members	82	60	100	60	60	1	0	0	0	0	0	0	0
Demon (Construction)	Demon (Construction)	Members	82	79	68	71	1	1	0	0	0	-10	0	0	0
Ogress Warrior - 2	Ogress Warrior 2	Free-to-play	82	82	68	82	60	1	10	12	12	14	16	16	16
Revenant cyclops	Revenant cyclops	Members	82	110	60	49	65	70	140	130	135	10	135	135	135
Zamorak mage - Level 82	Zamorak mage Level 82	Members	82	50	75	80	85	1	0	0	0	0	0	0	0
Zamorak ranger - Level 82	Zamorak ranger Level 82	Members	82	50	75	80	1	80	0	0	0	0	0	0	0
Ankou - Level 82	Ankou Level 82	Free-to-play	82	65	80	70	1	1	0	0	0	0	0	0	0
Third Age Mage	Third Age Mage	Members	83	40	1	80	110	1	5	6	5	65	-5	-5	-5
Aviansie - Level 83	Aviansie Level 83	Members	83	86	1	100	1	76	0	0	0	0	-20	0	0
Turoth - Level 83	Turoth Level 83	Members	83	76	53	83	1	1	0	20	20	0	0	0	0
Grizzly bear (Escape Caves)	Grizzly bear (Escape Caves)	Members	83	75	72	72	1	1	0	0	0	0	0	0	0
Third Age Warrior	Third Age Warrior	Members	83	40	90	80	1	1	96	108	113	-4	97	97	97
Enclave guard	Enclave guard	Members	83	80	70	70	1	1	13	24	19	0	0	0	0
The Shaikahan	The Shaikahan	Members	83	100	80	25	1	1	0	0	0	10000	10000	10000	10000
Skeleton Mage - Level 83	Skeleton Mage Level 83	Members	83	80	10	60	100	1	0	0	0	15	0	0	0
Death wing	Death wing	Members	83	80	70	70	1	1	0	0	0	0	0	0	0
Baby black dragon	Baby black dragon	Members	83	80	70	70	1	1	10	50	50	40	30	30	15
City guard	City guard	Members	83	80	70	70	1	1	13	24	19	0	0	0	0
Elvarg - Normal	Elvarg Normal	Free-to-play	83	80	70	70	70	1	20	40	40	30	20	20	20
Gang boss - Female	Gang boss Female	Members	83	80	70	70	1	1	0	0	10	0	0	0	0
Moss Guardian (Nightmare Zone) - Normal Mode	Moss Guardian (Nightmare Zone) Normal Mode	Members	84	120	60	60	1	1	0	0	0	0	0	0	0
Mummy (Klenter's Pyramid) - 1	Mummy (Klenter's Pyramid) 1	Members	84	90	90	90	1	1	90	90	30	90	0	0	0
Moss Guardian	Moss Guardian	Members	84	120	60	60	1	1	0	0	0	0	0	0	0
Moss Giant (Iorwerth Dungeon)	Moss Giant (Iorwerth Dungeon)	Members	84	120	60	60	1	1	0	0	0	0	0	0	0
Zamorak warrior - Level 84	Zamorak warrior Level 84	Members	84	45	85	90	1	1	0	0	0	0	0	0	0
Mummy (Klenter's Pyramid) - 2	Mummy (Klenter's Pyramid) 2	Members	84	90	90	90	1	1	90	90	30	90	0	0	0
Mummy (Klenter's Pyramid) - 4	Mummy (Klenter's Pyramid) 4	Members	84	90	90	90	1	1	90	90	30	90	0	0	0
Mummy (Pyramid Plunder) - 5	Mummy (Pyramid Plunder) 5	Members	84	90	90	90	1	1	90	90	30	90	0	0	0
Mummy (Pyramid Plunder) - 1	Mummy (Pyramid Plunder) 1	Members	84	90	90	90	1	1	90	90	30	90	0	0	0
Mummy (Pyramid Plunder) - 2	Mummy (Pyramid Plunder) 2	Members	84	90	90	90	1	1	90	90	30	90	0	0	0
Mummy (Klenter's Pyramid) - 3	Mummy (Klenter's Pyramid) 3	Members	84	90	90	90	1	1	90	90	30	90	0	0	0
Sergeant (Shayzien)	Sergeant (Shayzien)	Members	84	86	75	61	1	1	16	16	18	-12	27	27	27
Mummy (Klenter's Pyramid) - 5	Mummy (Klenter's Pyramid) 5	Members	84	90	90	90	1	1	90	90	30	90	0	0	0
Zamorak mage - Level 84	Zamorak mage Level 84	Members	84	50	78	82	85	1	0	0	0	0	0	0	0
Mummy (Pyramid Plunder) - 4	Mummy (Pyramid Plunder) 4	Members	84	90	90	90	1	1	90	90	30	90	0	0	0
Mummy (Pyramid Plunder) - 3	Mummy (Pyramid Plunder) 3	Members	84	90	90	90	1	1	90	90	30	90	0	0	0
Big Snake	Big Snake	Members	84	120	60	60	1	1	0	0	0	0	0	0	0
Fire Warrior of Lesarkus	Fire Warrior of Lesarkus	Members	84	59	78	78	62	1	34	37	35	-7	35	35	35
Aviansie - Level 84	Aviansie Level 84	Members	84	86	1	70	1	93	0	0	0	0	-20	0	0
Head Guard	Head Guard	Members	84	86	75	61	1	1	16	16	18	-12	27	27	27
Kalphite Soldier - Kalphite Lair	Kalphite Soldier Kalphite Lair	Members	85	90	70	70	1	1	25	25	5	50	50	50	50
Ghoul Champion	Ghoul Champion	Members	85	100	60	60	1	60	0	0	0	0	0	0	0
Armoured zombie - Ranged (invasion)	Armoured zombie Ranged (invasion)	Members	85	85	73	68	1	72	20	20	0	0	10	10	10
Kalphite soldier (Construction)	Kalphite soldier (Construction)	Members	85	90	70	70	1	1	25	25	5	50	50	50	50
Zombie (Tarn's Lair) - Level 85	Zombie (Tarn's Lair) Level 85	Members	85	75	71	70	1	1	20	20	0	0	10	10	10
Skeleton (Stronghold of Security) - 6	Skeleton (Stronghold of Security) 6	Free-to-play	85	77	74	74	1	1	79	31	20	5	70	70	70
Skeleton (Stronghold of Security) - 7	Skeleton (Stronghold of Security) 7	Free-to-play	85	77	74	74	1	1	79	31	20	5	70	70	70
Skeleton (Stronghold of Security) - 5	Skeleton (Stronghold of Security) 5	Free-to-play	85	77	74	74	1	1	79	31	20	5	70	70	70
Armoured zombie - Ranged	Armoured zombie Ranged	Members	85	85	73	68	1	72	20	20	0	0	10	10	10
Turoth - Level 85	Turoth Level 85	Members	85	77	54	84	1	1	0	20	20	0	0	0	0
Armoured zombie - Melee (invasion)	Armoured zombie Melee (invasion)	Members	85	85	73	68	1	1	20	20	0	0	10	10	10
Zamorak warrior - Level 85	Zamorak warrior Level 85	Members	85	45	90	90	1	1	0	0	0	0	0	0	0
Scarred lesser demon - Level 85	Scarred lesser demon Level 85	Members	85	79	68	71	1	1	0	0	0	-10	0	0	0
Jal-MejRah	Jal-MejRah	Members	85	25	0	55	120	120	30	30	30	-20	45	45	45
Armoured zombie - Melee	Armoured zombie Melee	Members	85	85	73	68	1	1	20	20	0	0	10	10	10
Kalphite Soldier - Kalphite Cave (task only)	Kalphite Soldier Kalphite Cave (task only)	Members	85	90	70	70	1	1	25	25	5	50	50	50	50
Monkey Archer - Ape Atoll gate	Monkey Archer Ape Atoll gate	Members	86	50	80	80	1	110	0	0	0	0	0	0	0
Zombie (Tarn's Lair) - Level 86	Zombie (Tarn's Lair) Level 86	Members	86	76	74	71	1	1	20	20	0	0	10	10	10
Ankou - Level 86	Ankou Level 86	Free-to-play	86	70	75	80	1	1	0	0	0	0	0	0	0
Parasite - Regular	Parasite Regular	Members	86	80	1	60	60	60	60	80	20	120	120	120	120
Monkey Archer - Marim	Monkey Archer Marim	Members	86	50	80	80	1	110	0	0	0	0	0	0	0
Zygomite - Level 86	Zygomite Level 86	Members	86	75	75	75	75	75	10	10	10	20	20	20	20
Ent - Woodcutting Guild	Ent Woodcutting Guild	Members	86	75	75	75	1	1	50	70	70	40	30	30	30
Fire giant - Level 86	Fire giant Level 86	Members	86	111	65	65	1	1	0	3	2	0	0	0	0
Giant rockslug	Giant rockslug	Members	86	77	72	77	1	1	0	0	0	0	0	0	0
Emissary Brawler - Level 86	Emissary Brawler Level 86	Members	86	55	90	70	15	1	30	30	20	5	30	30	30
Turoth - Level 87	Turoth Level 87	Members	87	79	56	86	1	1	0	20	20	0	0	0	0
Lesser demon - Level 87	Lesser demon Level 87	Members	87	87	80	71	1	1	0	0	0	-10	0	0	0
Jubster	Jubster	Members	87	60	82	81	1	1	0	0	0	0	0	0	0
Skeleton (Tarn's Lair) - Level 87	Skeleton (Tarn's Lair) Level 87	Members	87	92	75	55	1	1	50	40	0	0	40	40	40
Vyrewatch - Level 87	Vyrewatch Level 87	Members	87	75	80	75	75	1	0	0	0	0	0	0	0
Reanimated demon spawn	Reanimated demon spawn	Members	87	85	80	71	1	1	0	0	0	-10	0	0	0
Sea troll - Level 87	Sea troll Level 87	Members	87	80	75	75	1	1	0	0	0	0	0	0	0
Green dragon - Level 88	Green dragon Level 88	Members	88	100	68	68	75	1	10	40	40	30	50	50	15
Werewolf - Joseph	Werewolf Joseph	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Ksenia	Werewolf Ksenia	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Lev	Werewolf Lev	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Liliya	Werewolf Liliya	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Irina	Werewolf Irina	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Galina	Werewolf Galina	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Imre	Werewolf Imre	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Eduard	Werewolf Eduard	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Mosschin	Mosschin	Members	88	120	50	50	50	1	10	10	5	5	20	20	20
Werewolf - Milla	Werewolf Milla	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Nikita	Werewolf Nikita	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Yadviga	Werewolf Yadviga	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Yuri	Werewolf Yuri	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Zoja	Werewolf Zoja	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Boris	Werewolf Boris	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Vera	Werewolf Vera	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Sofiya	Werewolf Sofiya	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Svetlana	Werewolf Svetlana	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Nikolai	Werewolf Nikolai	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Alexis	Werewolf Alexis	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Werewolf - Georgy	Werewolf Georgy	Members	88	100	70	70	1	1	0	0	0	60	0	0	0
Dire Wolf - Level 88	Dire Wolf Level 88	Members	88	85	75	75	1	1	0	0	0	0	0	0	0
Spinner - Level 88	Spinner Level 88	Members	88	93	37	143	37	0	0	0	0	0	0	0	0
Dagannoth (Waterbirth Island) - Level 88	Dagannoth (Waterbirth Island) Level 88	Members	88	85	10	75	1	100	10	10	90	200	150	150	150
Soldier Scarab	Soldier Scarab	Members	89	40	75	80	100	95	15	250	30	10	250	250	250
Spitting Scarab	Spitting Scarab	Members	89	40	1	80	100	95	15	250	30	250	125	125	125
Ravager - Level 89	Ravager Level 89	Members	89	68	57	43	0	0	0	0	0	0	0	0	0
Aviansie - Level 89	Aviansie Level 89	Members	89	69	1	115	1	89	0	0	0	0	-20	0	0
Cockathrice	Cockathrice	Members	89	95	63	78	1	1	20	20	0	20	0	0	0
Arcane Scarab	Arcane Scarab	Members	89	40	75	80	100	95	15	250	30	75	50	50	50
Corrupted Scorpion	Corrupted Scorpion	Members	89	38	72	18	18	0	0	0	0	0	0	0	0
Turoth - Level 89	Turoth Level 89	Members	89	81	58	88	1	1	0	20	20	0	0	0	0
Kalrag	Kalrag	Members	89	78	78	78	1	1	20	17	12	13	13	13	13
Twisted Banshee	Twisted Banshee	Members	89	100	75	50	1	1	15	15	15	0	15	15	15
Iorwerth Archer - Male	Iorwerth Archer Male	Members	90	105	10	80	1	90	50	50	50	60	70	70	70
Iorwerth Archer - Female	Iorwerth Archer Female	Members	90	105	10	80	1	90	50	50	50	60	70	70	70
Dagannoth (Waterbirth Island) - Level 90	Dagannoth (Waterbirth Island) Level 90	Members	90	95	76	65	1	1	50	50	50	50	50	50	50
Abyssal walker (The Scar) - Level 90	Abyssal walker (The Scar) Level 90	Members	90	120	20	20	1	1	75	75	10	75	75	75	75
Revenant hellhound	Revenant hellhound	Members	90	80	76	80	104	80	138	140	142	62	140	140	140
Shifter - Level 90	Shifter Level 90	Members	90	68	100	68	50	0	0	0	0	0	0	0	0
Vampyre Juvinate - Level 90	Vampyre Juvinate Level 90	Members	90	100	113	55	50	50	0	0	0	0	0	0	0
Snakeling - Magic	Snakeling Magic	Members	90	1	1	1	185	1	-40	-40	-40	-40	-40	-40	-40
Sea Snake Young	Sea Snake Young	Members	90	85	90	70	1	1	0	0	0	0	0	0	0
Zombie (Tarn's Lair) - Level 90	Zombie (Tarn's Lair) Level 90	Members	90	81	82	72	1	1	20	20	0	0	10	10	10
Elf Archer - 2	Elf Archer 2	Members	90	105	10	80	1	90	50	50	50	60	70	70	70
Witch's experiment - Bear (hard)	Witch's experiment Bear (hard)	Members	90	103	95	39	1	1	0	0	0	0	0	0	0
Tormented Warrior	Tormented Warrior	Members	90	90	76	76	0	0	0	0	0	0	0	0	0
Tok-Xil - Spawn point	Tok-Xil Spawn point	Members	90	40	80	60	60	120	0	0	0	0	0	0	0
Tok-Xil - Standard	Tok-Xil Standard	Members	90	40	80	60	60	120	0	0	0	0	0	0	0
Snakeling - Melee	Snakeling Melee	Members	90	1	140	1	1	1	-40	-40	-40	-40	-40	-40	-40
Elf Archer - 1	Elf Archer 1	Members	90	105	10	80	1	90	50	50	50	60	70	70	70
Possessed Priest	Possessed Priest	Members	91	90	90	40	60	1	90	0	90	0	0	0	0
Holthion	Holthion	Members	91	87	76	77	1	1	0	0	0	-10	0	0	0
Parasite (Phosani's Nightmare) - Weakened	Parasite (Phosani's Nightmare) Weakened	Members	91	55	1	40	60	60	50	70	10	100	100	100	100
Torcher - Level 91	Torcher Level 91	Members	91	71	0	89	107	0	0	0	0	0	0	0	0
Nazastarool - Zombie	Nazastarool Zombie	Members	91	70	85	80	0	0	0	0	0	0	0	0	0
Troll (Construction)	Troll (Construction)	Members	91	120	50	50	0	0	25	25	40	200	200	200	200
Othainian	Othainian	Members	91	87	76	77	1	1	0	0	0	-10	0	0	0
Barbarian Warlord	Barbarian Warlord	Members	91	80	90	50	40	1	15	20	15	0	10	10	10
Kraka	Kraka	Members	91	120	50	50	0	0	25	25	40	200	200	200	200
Doomion	Doomion	Members	91	87	76	77	1	1	0	0	0	-10	0	0	0
Pee Hat	Pee Hat	Members	91	120	50	50	0	0	25	25	40	200	200	200	200
Slagilith - Normal	Slagilith Normal	Members	92	60	60	75	1	1	50	50	5	5	50	50	50
Scarabs	Scarabs	Members	92	25	255	10	1	1	15	15	15	15	15	15	15
Dagannoth - Level 92 (2)	Dagannoth Level 92 (2)	Members	92	120	68	71	1	1	0	0	0	50	50	50	50
Dagannoth - Level 92 (1)	Dagannoth Level 92 (1)	Members	92	120	68	71	1	1	0	0	0	50	50	50	50
Spinner - Level 92	Spinner Level 92	Members	92	101	32	118	82	0	0	0	0	0	0	0	0
Greater demon (The Scar)	Greater demon (The Scar)	Members	92	87	76	81	1	1	0	0	0	-10	0	0	0
Ranalph Devere	Ranalph Devere	Members	92	130	66	66	0	0	38	40	36	0	38	38	38
Torcher - Level 92	Torcher Level 92	Members	92	71	0	89	107	0	0	0	0	0	0	0	0
Tortoise - With riders	Tortoise With riders	Members	92	120	30	80	50	50	0	0	0	0	0	0	0
Thrantax the Mighty	Thrantax the Mighty	Members	92	80	80	80	1	1	0	0	0	0	0	0	0
Animated Mithril Armour	Animated Mithril Armour	Members	92	80	80	80	1	1	50	25	19	400	400	400	400
Greater demon - Level 92	Greater demon Level 92	Free-to-play	92	87	76	81	1	1	0	0	0	-10	0	0	0
